City,Month,Min,Max
Adelaide,Jan,17.1,29.2
Brisbane,Jan,21.2,29.2
Canberra,Jan,13.7,28.7
Darwin,Jan,25,31.8
Hobart,Jan,12.6,22.2
Melbourne,Jan,13.6,26.3
Perth,Jan,18.1,31.2
Sydney,Jan,19.5,27
Adelaide,Feb,17.2,29.5
Brisbane,Feb,21,28.9
Canberra,Feb,13.6,27.7
Darwin,Feb,24.9,31.5
Hobart,Feb,12.6,22.1
Melbourne,Feb,14.1,26.5
Perth,Feb,18.3,31.5
Sydney,Feb,19.7,26.7
Adelaide,Mar,15.3,26.5
Brisbane,Mar,19.3,27.9
Canberra,Mar,10.9,24.8
Darwin,Mar,24.7,32.1
Hobart,Mar,11.4,20.3
Melbourne,Mar,12.7,24.1
Perth,Mar,16.8,29.6
Sydney,Mar,18,25.3
Adelaide,Apr,12.5,22.7
Brisbane,Apr,16.7,26
Canberra,Apr,7.1,20.5
Darwin,Apr,24.3,32.9
Hobart,Apr,9.4,17.8
Melbourne,Apr,10.1,20.4
Perth,Apr,13.8,26
Sydney,Apr,15,23
Adelaide,May,10.2,19
Brisbane,May,13.7,23.6
Canberra,May,3.7,16.3
Darwin,May,22.5,32.3
Hobart,May,7.6,15.1
Melbourne,May,8.4,16.6
Perth,May,10.5,22.3
Sydney,May,12,20.3
Adelaide,Jun,8.1,16.1
Brisbane,Jun,10.6,21.2
Canberra,Jun,1.3,12.5
Darwin,Jun,20.1,30.8
Hobart,Jun,5.3,12.4
Melbourne,Jun,6.3,13.7
Perth,Jun,8.6,19.5
Sydney,Jun,9.2,17.8
Adelaide,Jul,7.5,15.3
Brisbane,Jul,9.3,20.7
Canberra,Jul,0.2,11.8
Darwin,Jul,19.4,30.8
Hobart,Jul,4.9,12.3
Melbourne,Jul,5.5,13
Perth,Jul,8,18.5
Sydney,Jul,8.1,17.1
Adelaide,Aug,8.2,16.6
Brisbane,Aug,9.7,21.8
Canberra,Aug,1.3,13.5
Darwin,Aug,20.4,31.6
Hobart,Aug,5.7,13.7
Melbourne,Aug,6,14.5
Perth,Aug,8.4,19.1
Sydney,Aug,8.9,18.7
Adelaide,Sep,9.7,19
Brisbane,Sep,12.6,24.1
Canberra,Sep,3.8,16.6
Darwin,Sep,23.2,32.8
Hobart,Sep,6.9,15.4
Melbourne,Sep,7.1,16.6
Perth,Sep,9.6,20.5
Sydney,Sep,11.4,21.1
Adelaide,Oct,11.4,21.8
Brisbane,Oct,15.5,25.6
Canberra,Oct,6.4,19.9
Darwin,Oct,25,33.5
Hobart,Oct,8.3,17.3
Melbourne,Oct,8.5,19.3
Perth,Oct,11.6,23.4
Sydney,Oct,14,23
Adelaide,Nov,14,25.2
Brisbane,Nov,17.9,26.8
Canberra,Nov,9.5,23.3
Darwin,Nov,25.6,33.5
Hobart,Nov,9.9,18.9
Melbourne,Nov,10.4,22.1
Perth,Nov,14.3,26.7
Sydney,Nov,16,24.1
Adelaide,Dec,15.5,26.9
Brisbane,Dec,19.9,28.4
Canberra,Dec,11.8,26.2
Darwin,Dec,25.6,32.7
Hobart,Dec,11.3,20.4
Melbourne,Dec,12,24.2
Perth,Dec,16.5,29.5
Sydney,Dec,18.2,26